Smiles,Set,Actual_pIC50,Predicted_pIC50
C1CCN(CC1)C(=O)C2=C(SC(=C2C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)Cl)N,train,5.335358024,5.393358224355855
COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(C2CCC(=O)N(C)C2)C3=O)c(OC)n1,train,8.812479279,8.584190801637396
CC[C@@H](CS(=O)(=O)C1COC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,train,9.698970004,9.682989911858671
CC1=NC(=CC=C1)NC(C2=C(C3=C(C=CC=N3)C=C2)O)C4=C(C(=CC(=C4F)F)F)F,train,5.283996656,5.548260292999816
COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(C#N)cc2C)N(c2cc(Cl)ccc2C)C3=O)c(OC)n1,train,9.48148606,9.507852370772481
CC[C@H]([C@H](C1CC1)N2C([C@H](C[C@](C2=O)(C)CC(=O)O)C3=CC(=CC=C3)Cl)C4=CC=C(C=C4)Cl)O,train,7.22184875,7.368885280281141
C[C@](CCNC(=O)[C@H]1[C@@H]([C@@]2([C@H](N1)CC(C)(C)C)C3=C(C=C(C=C3)Cl)NC2=O)C4=C(C(=CC=C4)Cl)F)(CO)O,train,5.522878745,5.687819436864654
CC[C@@H](C(=O)OCC)N1[C@@H]([C@H](C[C@@H](C1=O)CC(=O)O)C2=CC(=CC=C2)Cl)C3=CC=C(C=C3)Cl,train,7.065501549,6.931072005497779
CN(C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,train,7.698970004,7.825526802817199
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)N2CCC2)C2CC2)C1=O,train,10.0,9.937625937811452
COCC1=C(SC2=N[C@H]([C@H](N12)C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)Cl)C(=O)N5CCNC(=O)C5,train,5.148741651,5.359505727023699
CC[C@H](N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1)C(C)(C)O,train,8.853871964,8.702892790256788
CC(C)OC1=C(C=C2CC(=O)N([C@H](C2=C1)C3=CC=C(C=C3)Cl)C4=CN=C(C=N4)N(C)CC5CCC(CC5)N6CCN(C(=O)C6)C)OC,train,8.119186408,8.060927525164646
CC1(CC(C1)NC(=O)[C@H]2[C@@H]([C@]3([C@@H](N2)CC(C)(C)C)C4=CC(=C(C=C4NC3=O)Cl)F)C5=CC(=CC=C5)Cl)O,train,7.214670165,6.963307518711976
COc1ncc(-c2nc3c(n2[C@H](C)CO)[C@H](c2ccc(Cl)cc2)N(c2cccc(Cl)c2F)C3=O)c(OC)n1,train,9.970616222,9.55771421754671
C1=CC=C2C(=C1)C(=O)N(C2(C3=CC=C(C=C3)Cl)O)CCC4=CC=C(C=C4)N,train,5.207608311,5.273098825738279
CC[C@@H](c1nc2ccccc2s1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,train,7.15490196,7.4727668845133115
CC[C@@H]([C@H](C)O)N1[C@@H]([C@H](C[C@](C1=O)(C)CC(=O)O)C2=CC(=CC=C2)Cl)C3=CC=C(C=C3)Cl,train,8.37675071,8.116710002691516
CC[C@@H](C1CCC(=O)O1)N2[C@@H]([C@H](C[C@](C2=O)(C)CC(=O)O)C3=CC(=CC=C3)Cl)C4=CC=C(C=C4)Cl,train,7.698970004,7.611283307826843
C1CC1CN2[C@@H]([C@H](O[C@@H](C2=O)CC(=O)O)C3=CC(=CC=C3)Cl)C4=CC=C(C=C4)Cl,train,5.301029996,5.700126036497625
CS(=O)(=O)CCN1CCC(CC1)NC(=O)[C@H]2[C@@H]([C@@]3(C4=C(C=C(C=C4)Cl)NC3=O)C5(N2)CCCCC5)C6=C(C(=CC=C6)Cl)F,train,7.0,6.861598638286498
CN1CCN(CC1)C(=O)C2=C(SC(=C2C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)Cl)N,train,6.229147988,5.878804417629725
COC(=O)C(C1=CC=C(C=C1)Cl)N2C(C(=O)NC3=CC=CC=C3C2=O)C4=CC=C(C=C4)Cl,train,5.253365801,5.390900657809472
COc1nc(N)ncc1-c1nc2c(n1C(C)C)[C@@H](c1ccc(Cl)cc1)N(c1cc(Cl)cn(C)c1=O)C2=O,train,7.163675884,7.966860453833033
CC(C)(C)C[C@H]1[C@@]2([C@H]([C@@H](N1)C(=O)NC3=CC=C(C=C3)C(=O)N)C4=C(C(=CC=C4)Cl)F)C5=C(C=C(C=C5)Cl)NC2=O,train,8.301029996,8.021183495599498
CN(C)S(=O)(=O)N(C)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,train,9.301029996,9.216085345010976
CC(=O)N1CCN(C(=O)Cn2nc3c(c2C(C)C)C(c2ccc(Cl)cc2C)N(c2cc(Cl)ccc2C)C3=O)CC1,train,8.537602002,8.475772740906923
COC1=CC=C(C=C1)CN2C(=O)C3=CC=CC=C3C2(C4=CC=C(C=C4)Cl)OCC5(CC5)CO,train,5.552841969,5.640998348686266
CC[C@@H](C)OC1=C(C=C2CC(=O)N(C(C2=C1)C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)N(C)CC5=CC=NC=C5)OC,train,8.096910013,7.478274358534873
CC(C)S(=O)(=O)C[C@H](C(C)(C)C)N1[C@@H]([C@H](C[C@](C1=O)(C)CC(=O)O)C2=CC(=CC=C2)Cl)C3=CC=C(C=C3)Cl,train,9.397940009,9.069623569480001
CC(C)C1=C(C(=O)N2[C@H](C)CC[C@H]2C(=O)N2CCNC3(CC3)C2)SC2=N[C@@](C)(c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)c(F)c3)N21,train,8.119186408,8.177316011418373
