naAromAtom,nBondsD,nAcid,SaasC,SpMax3_Bhm,ETA_EtaP,SpMax1_Bhm,MDEO-11,SpMax4_Bhm,MLFER_S,maxHBa,ATSC4c,SpMax4_Bhv,VPC-4,ATSC8c,VE3_Dzs,AATS6s,VE1_Dzs,minHsOH,gmin,GATS2c,minwHBa,CrippenLogP,SpMax5_Bhv,VE3_Dzv,GATS6m,ATSC2m,ATSC8m,VC-5,MDEC-33,maxHssNH,AATS6v,SpMin6_Bhm,AATS8e,GATS8m,maxHBd,IC3,AATS7s,hmin,SpMin5_Bhm,SssssC,ndsN,ATSC1m,SCH-6,GATS5m,ETA_Beta,SpMin4_Bhm,AATSC5s,ATSC7p,apol
0,10.0,0,0.0,3.760988028,1.03815,3.991588985,0.0,3.479688531,3.036,13.47310016,-0.123909612,3.328220719,1.960942631,0.11376884,-11.03541824,2.864399824,0.031791122,0.0,-0.250224833,1.222354115,0.051751727,6.49478,3.130448912,-8.922643629,0.891495558,386.6605966,975.42094,0.144347958,12.87407532,0.0,192.2250953,1.434070378,7.603689512,0.947267703,0.0,4.943850823,2.653887502,-0.165967931,1.641239764,0.0,0.0,120.71042,0.267583143,0.736579552,35.25,1.650628012,-0.012471032,-2.403495336,69.584618
0,11.0,0,0.0,3.948687695,1.29601,6.879516845,0.125,3.762535614,3.532,14.58109298,0.210370238,3.581413616,3.067164074,0.166714219,-2.616960493,2.969933564,0.528198538,0.513348432,-0.294885624,1.209628409,-0.051757354,5.71219,3.418291123,-1.817244486,0.569878742,476.3049944,1478.329837,0.163066352,14.97039641,0.0,204.6585539,1.568553528,7.620745825,0.629588086,0.513348432,5.355355024,2.782346651,-0.300309404,1.635018126,0.0,1.0,62.93730064,0.499485066,0.297903297,43.25,1.844951896,-0.047521922,-2.812989603,90.938962
0,9.0,0,0.0,3.48493749,0.62653,3.900898047,0.0,3.135784055,2.256,12.10549351,-0.2128995,3.061819343,0.804887498,-0.004392991,-5.681377811,3.748366013,0.066842378,0.0,-0.150909208,1.193617171,-0.150909208,3.70897,2.821574725,-5.410228988,0.943370825,1.270939387,142.6096643,0.031810057,4.259727376,0.472264767,190.2801202,1.095478567,7.530372818,0.87978044,0.472264767,4.743289445,3.490956072,0.143262317,1.261980344,0.0,1.0,51.48829836,0.358304986,0.840090021,26.75,1.414617564,0.15477946,-0.502771969,43.059102
0,9.0,0,0.0,3.552137506,0.6301,3.951273904,0.0,3.298856881,2.228,12.08209007,-0.18356701,3.04974914,0.876496586,-0.053411599,-3.724417745,4.139114724,0.155329149,0.0,-0.113132716,1.045729906,-0.113132716,3.85298,2.72838366,-11.08244868,0.98002984,-56.50179722,323.920305,0.031810057,4.259727376,0.466150085,218.3529463,1.028468775,7.611788,0.775747377,0.466150085,4.607264455,3.483322504,0.13921375,1.096111923,0.0,1.0,12.06111875,0.358304986,0.603588519,26.0,1.27056727,0.148241363,0.157285188,40.676723
0,18.0,0,0.0,3.894454188,0.96017,4.046952573,0.25,3.86363857,5.329,13.99465265,0.199098702,3.724735836,2.549142671,0.321543272,-6.337340669,3.187070703,0.21316413,0.0,-0.357274406,0.716067599,-0.357274406,8.64426,3.631233994,-6.204510145,0.713302478,54.4180707,701.0509569,0.199716124,18.75391559,0.415798447,248.0752113,1.440853452,7.682514,0.806570287,0.415798447,4.923290714,3.014093099,-0.071536782,1.733373364,0.0,0.0,36.37897453,0.607790052,0.736962437,53.0,1.858170565,-0.031818719,-2.43586757,84.246653
0,8.0,0,0.0,3.398730353,0.72651,3.884004555,0.25,3.086329643,1.763,12.8210558,0.689990922,2.963251963,0.899808541,-0.043302452,-4.006837692,4.227777778,0.161816895,0.518189535,-0.429325869,1.047459698,-0.429325869,3.76268,2.897624852,-6.05593528,1.418544248,137.2078942,28.29449582,0.045600213,6.416670248,0.0,172.6029795,1.098519835,7.874174237,0.98798747,0.518189535,4.391489514,3.361111111,0.095967313,1.373158031,0.0,0.0,16.8209863,0.138888889,0.968695854,25.25,1.435567526,-0.115519043,0.15256618,43.686895
0,9.0,0,0.0,3.462365981,0.5582,3.899721419,0.0,3.058430513,2.268,11.9914503,-0.127803025,2.994514276,0.658278696,0.102073499,-4.030155739,4.339031339,0.119895518,0.0,-0.145359033,1.123427408,-0.145359033,2.59458,2.717230799,-6.61748749,1.068308734,-132.6466417,31.07007634,0.031810057,3.809091237,0.477569838,211.1547902,1.027586753,7.489593882,0.957154234,0.477569838,4.773557262,3.898148148,0.153133503,1.093250015,0.0,2.0,35.00210882,0.377033725,0.86920639,25.75,1.259105592,0.137933441,0.209449801,37.836723
0,9.0,0,0.0,3.46785788,0.57276,3.899989986,0.0,3.06924486,2.095,12.0070753,-0.164259718,3.029157614,0.658278696,-0.025802082,-4.002614064,4.135501355,0.121646135,0.0,-0.124950869,1.094126334,-0.124950869,3.19958,2.71895602,-7.586090025,1.042999051,-124.2101101,-85.88293988,0.031810057,3.809091237,0.471396999,207.5886375,1.031603947,7.454810222,1.055231607,0.471396999,4.361792182,3.535087719,0.146960664,1.102295258,0.0,1.0,34.02973878,0.377033725,0.874059279,25.25,1.286741188,0.142727114,0.285562016,39.163516
0,9.0,0,0.0,3.463385807,0.55757,3.899669984,0.0,3.063785573,2.268,11.98666714,-0.15159644,3.014188677,0.645756289,-0.09173292,-4.405403517,4.501424501,0.098407975,0.0,-0.152728647,1.142128511,-0.152728647,2.59458,2.718640452,-5.508076698,1.044849959,-132.6466417,8.55825314,0.031810057,3.809091237,0.479209499,209.9880946,1.008126076,7.512856,0.989390257,0.479209499,4.773557262,3.643518519,0.154773164,1.034097798,0.0,2.0,35.00210882,0.377033725,0.908715771,25.75,1.277835936,0.105481201,0.438776732,37.836723
18,5.0,1,2.179667027,3.685571875,0.82091,3.877852698,1.792756262,3.668502504,5.0,13.14544109,-0.567800753,3.555755566,1.460358895,-0.168138279,-8.439728507,3.930087391,0.108502595,0.590861938,-1.37970273,0.611094661,-1.277551789,1.82678,3.315445435,-4.742310988,1.002774814,-150.3996923,566.9779291,0.085956201,11.09157441,0.496034409,177.5164972,1.435181109,7.783968541,0.929421164,0.608071729,5.23149284,3.930395913,0.044739131,1.565806249,0.0,0.0,-54.03695174,0.287457479,0.906543672,49.75,1.76722438,0.593293274,-2.623206856,76.800204
